Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2019-06-18,578.2268676757812,581.3640087896613,572.8553338562263,577.2789215835875,16797371
2019-06-19,576.5792236328125,587.7059284841132,569.9213038998722,580.8899976583075,14492763
2019-06-20,585.336181640625,586.8032382484284,576.8727041079051,577.7754525463251,10748848
2019-06-21,577.5496826171875,584.9975972204583,575.7667245751904,584.9749983809481,23236832
2019-06-24,569.8309936523438,576.1729510690017,567.4386504125471,574.2319819756626,11267228
2019-06-25,584.9298706054688,585.9003551853891,566.1521630973274,568.2511433456274,14966899
2019-06-26,584.16259765625,588.8796088170066,580.6417582856363,582.7407387607574,11593027
2019-06-27,575.1348266601562,585.4038603232036,573.712907614138,583.7111770358732,24905533
2019-06-28,565.6331176757812,579.0618908185701,563.624412243058,576.4663989704375,18942165
2019-07-01,572.7424926757812,574.4577145682326,562.6314096760841,567.8674707170345,13478857
2019-07-02,577.0982666015625,578.226762169486,570.2371991603759,575.044484215851,10146746
2019-07-03,578.9263916015625,580.7094098691919,575.541025251397,579.0844026840556,8806492
2019-07-04,579.5808715820312,582.740610890748,577.7753148718455,578.4072988917286,9351405
2019-07-05,570.259765625,582.5149653428731,568.7476321114237,580.0774244391135,10926753
2019-07-08,565.1591186523438,572.4038846008084,563.4212980626161,567.8448852099742,14009219
2019-07-09,577.820556640625,579.3552891609992,562.2025877117098,563.7598588099542,17535754
2019-07-10,577.25634765625,581.9958970362514,572.6747491062227,577.7979966680044,12018196
2019-07-11,578.4750366210938,582.1990240986477,577.4594146296831,580.9351161875426,8608376
2019-07-12,578.0011596679688,586.8031973839195,576.8952025125512,579.1295951374104,15692436
2019-07-15,576.0150146484375,582.0635488893104,573.4195228460686,580.0323049159039,10659498
2019-07-16,583.6433715820312,584.5010426760637,576.4437434248532,577.7527886401829,10070773
2019-07-17,578.6104736328125,585.4490033694668,577.7754012695951,584.2302328221832,9482233
2019-07-18,569.5827026367188,580.6642692826077,567.8448820566415,578.6781627924179,11942908
2019-07-19,563.782470703125,574.5931540660478,560.9386926931303,572.4490964670397,16336536
2019-07-22,578.0011596679688,579.8066564190754,553.9873297153326,564.6851992835219,29092589
2019-07-23,574.8639526367188,584.0496272253935,568.9281718267421,580.0322768884748,20316348
2019-07-24,568.3413696289062,577.2336809134725,565.8361528488774,574.8413377960691,15189179
2019-07-25,555.8831787109375,572.8327922250751,553.8519345397227,570.5532621111378,21805071
2019-07-26,547.8935546875,560.8483544484686,546.1782726440591,555.8831182427565,20387504
2019-07-29,546.6071166992188,551.5949518217128,543.9664874702091,549.2928833441882,17626045
2019-07-30,533.0429077148438,550.692178940088,530.8085755927029,547.9612750009646,20853117
2019-07-31,526.4301147460938,534.8935906040457,524.6922339506592,530.7182895071983,21229950
2019-08-01,532.74951171875,536.3380263009985,519.2530039381528,525.1435867529218,22628222
2019-08-02,537.8091430664062,544.1210860846853,527.7055115893971,533.8812295470497,23766807
2019-08-05,519.1912841796875,529.9306336626171,512.2208890367813,529.9306336626171,30399133
2019-08-06,512.3570556640625,522.0293379430877,509.49626881055286,515.2859853594673,29067994
2019-08-07,503.774658203125,517.0115877405395,500.9138409022352,511.5397294037326,25349369
2019-08-08,523.2781372070312,525.8437396469357,497.3719121588815,503.2978542107575,31198568
2019-08-09,527.7055053710938,533.7904065499594,523.2553655257883,527.5920148012282,21970009
2019-08-13,578.8594970703125,591.5968734557351,556.7222885392116,559.969076698761,104827144
2019-08-14,584.9898071289062,592.3461421573072,581.40242600764,592.1418348823902,31688983
2019-08-16,580.3353271484375,586.6018620093873,578.0648487749316,586.3294118796034,21977767
2019-08-19,586.9651489257812,588.87236052481,581.2435141286951,581.7203321847795,16317602
2019-08-20,579.4044189453125,586.9651221490863,577.8832087587299,585.693688224608,14969299
2019-08-21,577.1339721679688,580.6305369021651,575.113269971948,579.2682255689683,10677848
2019-08-22,566.1448364257812,577.1566355959485,562.5801895333117,577.1339617305485,14031953
2019-08-23,579.3590087890625,583.0598806028331,556.9493493741091,562.625575538082,21307915
2019-08-26,575.24951171875,587.6008882881982,571.7075385249452,587.6008882881982,19202504
2019-08-27,578.9049682617188,583.5140075040541,572.7065152500139,583.5140075040541,28401906
2019-08-28,573.6600952148438,581.6976162381646,570.3678986675511,578.405419690872,11605488
2019-08-29,563.8743286132812,572.2751165568237,560.9453988589464,570.5495384893119,18890222
2019-08-30,566.962158203125,569.6186378392703,554.4518232878675,565.5771730991098,24735240
2019-09-03,547.822021484375,564.44196397496,544.915765591029,564.1013710088617,18730619
2019-09-04,545.43798828125,547.2997913994586,538.5811450290316,545.1655381603373,32949395
2019-09-05,544.2800903320312,550.9098923695573,541.8733867713473,548.0036968788901,22995486
2019-09-06,555.1329956054688,558.0846601040214,542.7588847037789,546.2781233604322,23186819
2019-09-09,554.9967041015625,559.9009273924996,550.8871572872196,554.2928443294189,11747929
2019-09-11,560.5367431640625,563.0796716873481,555.1329670049365,555.1329670049365,12127900
2019-09-12,549.61572265625,563.2840019164422,547.504203735165,560.8092161379928,11880005
2019-09-13,556.5406494140625,557.8574916302792,548.049045035865,550.3649316276186,12947715
2019-09-16,549.7973022460938,553.5889906364981,538.6038098604724,539.9207127147705,20547730
2019-09-17,543.7578125,549.9108565170806,541.9641522447179,549.9108565170806,15640772
2019-09-18,547.504150390625,552.3175570323413,543.6443191565811,547.1635574323757,14933909
2019-09-19,535.4024658203125,549.3205209243985,532.4962704265432,548.4804360302361,13766222
